Vardas              Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 ND7                 ND8                 ND9                 ND10                ND11                ND12                ND13                ND14                ND15                ND16                Egz                 
Vardas854           Pavarde854          8                   3                   9                   4                   7                   7                   1                   2                   1                   5                   1                   5                   4                   4                   5                   1                   5                   
Vardas855           Pavarde855          2                   3                   1                   8                   5                   1                   3                   8                   1                   6                   6                   7                   2                   4                   6                   1                   2                   
Vardas856           Pavarde856          7                   7                   1                   3                   4                   5                   6                   9                   7                   2                   10                  8                   8                   10                  1                   10                  4                   
Vardas857           Pavarde857          5                   2                   9                   1                   2                   2                   5                   7                   5                   5                   3                   4                   8                   8                   4                   5                   6                   
Vardas858           Pavarde858          7                   2                   1                   5                   1                   8                   1                   10                  7                   8                   6                   2                   4                   6                   9                   10                  5                   
Vardas859           Pavarde859          5                   2                   4                   10                  5                   2                   1                   8                   3                   5                   4                   7                   3                   8                   2                   7                   2                   
Vardas860           Pavarde860          9                   3                   1                   9                   4                   7                   5                   6                   5                   6                   2                   6                   5                   9                   3                   3                   7                   
Vardas861           Pavarde861          8                   5                   6                   9                   2                   5                   10                  3                   3                   3                   8                   5                   9                   10                  1                   4                   7                   
Vardas862           Pavarde862          9                   2                   7                   2                   3                   2                   7                   8                   1                   1                   7                   7                   3                   4                   2                   8                   8                   
Vardas863           Pavarde863          4                   9                   7                   2                   3                   5                   7                   2                   5                   4                   10                  2                   6                   1                   7                   2                   2                   
Vardas864           Pavarde864          4                   2                   9                   5                   1                   6                   10                  7                   9                   8                   7                   10                  9                   6                   1                   5                   7                   
Vardas865           Pavarde865          1                   3                   5                   7                   5                   8                   10                  6                   9                   5                   8                   2                   2                   2                   10                  1                   5                   
Vardas866           Pavarde866          1                   7                   8                   9                   10                  4                   2                   7                   3                   2                   9                   6                   7                   6                   4                   6                   4                   
Vardas867           Pavarde867          6                   6                   1                   6                   7                   3                   7                   5                   9                   4                   9                   9                   6                   6                   2                   6                   2                   
Vardas868           Pavarde868          7                   1                   10                  9                   2                   5                   9                   9                   8                   7                   10                  8                   9                   2                   5                   4                   7                   
Vardas869           Pavarde869          3                   10                  10                  7                   4                   3                   5                   9                   8                   10                  5                   9                   6                   10                  6                   3                   2                   
Vardas870           Pavarde870          5                   3                   1                   9                   3                   3                   5                   10                  8                   2                   10                  3                   3                   2                   5                   2                   1                   
Vardas871           Pavarde871          1                   9                   1                   2                   4                   5                   9                   9                   2                   3                   4                   6                   7                   9                   3                   10                  4                   
Vardas872           Pavarde872          7                   5                   1                   6                   1                   9                   4                   2                   6                   6                   3                   2                   3                   5                   7                   6                   3                   
Vardas873           Pavarde873          3                   9                   2                   5                   10                  6                   2                   9                   1                   1                   3                   6                   2                   1                   5                   8                   7                   
Vardas874           Pavarde874          8                   6                   6                   2                   3                   6                   6                   2                   5                   1                   8                   3                   7                   3                   1                   9                   6                   
Vardas875           Pavarde875          2                   3                   9                   2                   5                   3                   4                   4                   3                   2                   6                   6                   10                  3                   1                   4                   7                   
Vardas876           Pavarde876          1                   10                  10                  5                   6                   10                  4                   3                   7                   1                   10                  5                   7                   2                   7                   6                   8                   
Vardas877           Pavarde877          6                   4                   4                   7                   2                   4                   7                   4                   3                   10                  7                   8                   9                   5                   10                  5                   3                   
Vardas878           Pavarde878          3                   1                   2                   8                   7                   2                   3                   4                   2                   10                  10                  3                   8                   9                   5                   3                   10                  
Vardas879           Pavarde879          4                   9                   9                   4                   10                  3                   6                   10                  6                   7                   4                   9                   9                   6                   2                   10                  1                   
Vardas880           Pavarde880          6                   3                   1                   5                   5                   4                   6                   1                   5                   4                   2                   2                   10                  7                   5                   10                  8                   
Vardas881           Pavarde881          9                   10                  5                   9                   2                   10                  3                   2                   1                   10                  10                  4                   8                   9                   1                   3                   10                  
Vardas882           Pavarde882          1                   8                   8                   3                   6                   1                   1                   9                   4                   1                   3                   1                   2                   10                  9                   9                   8                   
Vardas883           Pavarde883          8                   10                  4                   7                   6                   6                   2                   1                   10                  2                   9                   6                   4                   5                   8                   4                   5                   
Vardas884           Pavarde884          9                   9                   6                   1                   7                   10                  8                   1                   10                  4                   8                   3                   2                   7                   4                   5                   6                   
Vardas885           Pavarde885          9                   5                   6                   1                   1                   5                   4                   3                   9                   8                   4                   8                   5                   7                   4                   9                   2                   
Vardas886           Pavarde886          5                   2                   3                   10                  1                   10                  6                   8                   3                   3                   2                   9                   7                   4                   4                   9                   9                   
Vardas887           Pavarde887          2                   6                   6                   4                   7                   10                  1                   3                   4                   10                  3                   1                   6                   6                   3                   3                   6                   
Vardas888           Pavarde888          4                   6                   10                  3                   5                   4                   8                   7                   5                   4                   10                  3                   7                   6                   10                  4                   2                   
Vardas889           Pavarde889          5                   1                   4                   9                   10                  9                   7                   5                   10                  10                  6                   8                   3                   3                   9                   4                   5                   
Vardas890           Pavarde890          3                   4                   2                   9                   1                   8                   2                   6                   3                   3                   2                   2                   9                   3                   1                   6                   8                   
Vardas891           Pavarde891          6                   4                   8                   10                  8                   8                   2                   7                   5                   4                   10                  8                   1                   5                   3                   6                   4                   
Vardas892           Pavarde892          6                   5                   2                   1                   10                  10                  3                   9                   8                   6                   4                   1                   9                   10                  9                   6                   6                   
Vardas893           Pavarde893          7                   1                   5                   8                   5                   10                  2                   5                   1                   5                   1                   10                  7                   5                   5                   9                   8                   
Vardas894           Pavarde894          9                   10                  7                   5                   2                   7                   10                  2                   4                   5                   1                   5                   7                   3                   8                   10                  1                   
Vardas895           Pavarde895          7                   9                   9                   6                   3                   5                   3                   3                   1                   5                   6                   2                   2                   9                   3                   10                  4                   
Vardas896           Pavarde896          3                   2                   3                   4                   7                   9                   7                   2                   9                   3                   9                   1                   7                   8                   10                  8                   4                   
Vardas897           Pavarde897          3                   3                   10                  2                   10                  10                  5                   8                   3                   3                   8                   5                   4                   2                   3                   6                   6                   
Vardas898           Pavarde898          10                  5                   6                   3                   6                   9                   4                   5                   4                   4                   10                  5                   3                   4                   4                   5                   6                   
Vardas899           Pavarde899          8                   9                   4                   5                   7                   6                   2                   7                   8                   3                   8                   10                  5                   6                   4                   4                   9                   
Vardas900           Pavarde900          5                   2                   8                   3                   3                   8                   8                   8                   6                   3                   5                   6                   2                   5                   4                   3                   5                   
Vardas901           Pavarde901          5                   8                   2                   1                   3                   5                   4                   5                   7                   1                   3                   8                   6                   8                   1                   7                   4                   
Vardas902           Pavarde902          4                   8                   2                   5                   10                  6                   4                   4                   10                  5                   7                   10                  1                   2                   7                   6                   3                   
Vardas903           Pavarde903          4                   4                   8                   2                   3                   1                   7                   7                   4                   10                  6                   10                  10                  3                   1                   6                   10                  
Vardas904           Pavarde904          6                   6                   4                   2                   4                   8                   4                   7                   4                   10                  9                   9                   1                   3                   5                   10                  2                   
Vardas905           Pavarde905          5                   4                   4                   5                   8                   10                  6                   10                  10                  5                   9                   3                   3                   2                   3                   6                   2                   
Vardas906           Pavarde906          3                   3                   3                   2                   5                   5                   5                   4                   2                   5                   10                  5                   7                   8                   2                   8                   2                   
Vardas907           Pavarde907          6                   2                   2                   2                   9                   9                   4                   7                   4                   1                   10                  1                   7                   9                   2                   9                   6                   
Vardas908           Pavarde908          3                   4                   10                  5                   4                   1                   9                   9                   2                   9                   4                   6                   10                  5                   6                   2                   8                   
Vardas909           Pavarde909          6                   5                   7                   8                   9                   4                   6                   8                   10                  1                   1                   7                   8                   10                  4                   5                   1                   
Vardas910           Pavarde910          8                   7                   4                   1                   8                   8                   1                   4                   4                   3                   1                   8                   2                   10                  6                   9                   7                   
Vardas911           Pavarde911          2                   5                   4                   1                   1                   4                   9                   3                   8                   9                   6                   1                   10                  1                   3                   1                   8                   
Vardas912           Pavarde912          9                   1                   9                   9                   6                   4                   7                   1                   9                   5                   6                   6                   2                   2                   3                   6                   6                   
Vardas913           Pavarde913          10                  8                   9                   2                   8                   5                   2                   9                   7                   9                   3                   7                   10                  8                   9                   4                   10                  
Vardas914           Pavarde914          3                   6                   10                  1                   5                   3                   6                   3                   2                   8                   3                   9                   9                   10                  8                   8                   3                   
Vardas915           Pavarde915          6                   9                   8                   9                   4                   7                   3                   8                   7                   5                   8                   8                   10                  8                   3                   6                   1                   
Vardas916           Pavarde916          1                   6                   7                   6                   8                   8                   7                   8                   7                   5                   2                   1                   7                   5                   5                   1                   3                   
Vardas917           Pavarde917          4                   8                   6                   5                   8                   8                   9                   6                   3                   7                   8                   6                   7                   1                   5                   7                   3                   
Vardas918           Pavarde918          9                   9                   9                   5                   8                   9                   1                   9                   4                   7                   4                   4                   5                   5                   7                   6                   8                   
Vardas919           Pavarde919          5                   3                   5                   4                   5                   10                  10                  7                   9                   5                   8                   10                  9                   3                   1                   1                   6                   
Vardas920           Pavarde920          6                   3                   6                   9                   1                   1                   2                   7                   10                  3                   5                   10                  5                   8                   5                   8                   7                   
Vardas921           Pavarde921          2                   5                   1                   2                   7                   9                   3                   4                   10                  1                   2                   9                   5                   2                   7                   7                   9                   
Vardas922           Pavarde922          6                   10                  8                   6                   6                   7                   1                   10                  2                   3                   1                   5                   2                   8                   1                   2                   6                   
Vardas923           Pavarde923          4                   4                   1                   8                   1                   4                   8                   6                   10                  3                   2                   1                   1                   8                   7                   10                  6                   
Vardas924           Pavarde924          7                   8                   9                   9                   8                   1                   7                   4                   9                   9                   5                   10                  2                   1                   2                   7                   9                   
Vardas925           Pavarde925          8                   1                   10                  5                   7                   1                   4                   10                  2                   9                   1                   4                   1                   9                   2                   10                  2                   
Vardas926           Pavarde926          2                   3                   4                   3                   6                   8                   4                   7                   6                   9                   5                   10                  2                   8                   6                   7                   3                   
Vardas927           Pavarde927          1                   8                   1                   9                   2                   9                   4                   1                   4                   10                  3                   4                   4                   9                   4                   6                   9                   
Vardas928           Pavarde928          5                   3                   2                   10                  1                   3                   6                   4                   2                   1                   2                   6                   3                   5                   7                   5                   2                   
Vardas929           Pavarde929          8                   1                   9                   1                   4                   4                   1                   1                   3                   1                   7                   4                   2                   6                   9                   3                   7                   
Vardas930           Pavarde930          4                   10                  7                   9                   5                   7                   2                   7                   2                   10                  6                   8                   7                   1                   8                   4                   9                   
Vardas931           Pavarde931          5                   7                   7                   10                  8                   7                   4                   1                   3                   3                   3                   5                   5                   8                   4                   5                   2                   
Vardas932           Pavarde932          10                  5                   6                   5                   10                  2                   5                   7                   5                   5                   2                   4                   8                   9                   9                   1                   4                   
Vardas933           Pavarde933          1                   3                   5                   7                   2                   2                   8                   2                   8                   2                   7                   6                   8                   9                   2                   1                   5                   
Vardas934           Pavarde934          9                   3                   1                   6                   7                   8                   1                   5                   4                   6                   2                   10                  6                   1                   3                   6                   7                   
Vardas935           Pavarde935          8                   8                   3                   5                   2                   3                   1                   8                   8                   8                   6                   2                   2                   7                   1                   9                   8                   
Vardas936           Pavarde936          4                   6                   5                   9                   3                   4                   1                   9                   6                   9                   6                   4                   2                   8                   5                   1                   4                   
Vardas937           Pavarde937          4                   1                   4                   1                   2                   8                   9                   4                   4                   6                   2                   2                   6                   1                   6                   5                   5                   
Vardas938           Pavarde938          5                   2                   8                   6                   5                   10                  10                  2                   5                   3                   4                   1                   5                   1                   7                   6                   8                   
Vardas939           Pavarde939          10                  8                   4                   6                   10                  1                   1                   2                   3                   8                   2                   5                   5                   6                   3                   2                   1                   
Vardas940           Pavarde940          6                   7                   8                   5                   6                   5                   2                   6                   6                   9                   5                   1                   1                   2                   10                  9                   1                   
Vardas941           Pavarde941          5                   4                   3                   7                   7                   8                   6                   10                  6                   4                   1                   10                  6                   9                   3                   10                  9                   
Vardas942           Pavarde942          9                   7                   4                   1                   5                   5                   4                   2                   9                   9                   7                   4                   4                   7                   1                   4                   5                   
Vardas943           Pavarde943          8                   10                  3                   9                   10                  5                   6                   5                   10                  9                   10                  2                   10                  5                   4                   6                   3                   
Vardas944           Pavarde944          9                   10                  6                   2                   7                   4                   8                   1                   10                  9                   1                   1                   3                   7                   8                   1                   6                   
Vardas945           Pavarde945          10                  3                   1                   9                   8                   6                   1                   4                   2                   5                   3                   2                   7                   7                   10                  10                  8                   
Vardas946           Pavarde946          10                  9                   7                   8                   4                   6                   10                  6                   3                   10                  10                  10                  8                   7                   6                   10                  5                   
Vardas947           Pavarde947          10                  4                   8                   2                   3                   10                  9                   1                   9                   6                   1                   4                   7                   8                   4                   4                   5                   
Vardas948           Pavarde948          2                   8                   3                   1                   6                   3                   9                   9                   5                   6                   5                   8                   7                   8                   4                   10                  2                   
Vardas949           Pavarde949          8                   6                   8                   2                   1                   4                   5                   7                   8                   10                  10                  1                   6                   2                   5                   4                   8                   
Vardas950           Pavarde950          6                   4                   3                   6                   1                   10                  4                   5                   3                   7                   8                   1                   2                   6                   1                   9                   2                   
Vardas951           Pavarde951          8                   4                   6                   5                   3                   10                  8                   7                   2                   7                   3                   8                   10                  6                   10                  8                   2                   
Vardas952           Pavarde952          6                   1                   5                   1                   3                   7                   10                  1                   7                   2                   6                   8                   9                   3                   5                   2                   10                  
Vardas953           Pavarde953          5                   6                   2                   4                   7                   3                   5                   10                  5                   5                   9                   6                   8                   6                   10                  10                  3                   
Vardas954           Pavarde954          9                   6                   9                   2                   5                   4                   7                   6                   9                   9                   2                   6                   7                   2                   10                  8                   8                   
Vardas955           Pavarde955          3                   9                   9                   10                  9                   6                   9                   3                   5                   10                  3                   2                   5                   10                  9                   3                   2                   
Vardas956           Pavarde956          2                   8                   10                  4                   10                  2                   4                   1                   2                   5                   7                   8                   5                   6                   3                   1                   5                   
Vardas957           Pavarde957          9                   2                   10                  1                   5                   6                   4                   2                   7                   7                   6                   1                   8                   8                   1                   10                  1                   
Vardas958           Pavarde958          9                   1                   6                   7                   1                   10                  8                   1                   3                   8                   6                   1                   8                   7                   7                   9                   5                   
Vardas959           Pavarde959          7                   3                   9                   6                   9                   7                   6                   3                   5                   1                   3                   9                   9                   2                   2                   4                   8                   
Vardas960           Pavarde960          8                   6                   8                   10                  6                   5                   2                   4                   6                   5                   7                   3                   6                   9                   7                   1                   3                   
Vardas961           Pavarde961          7                   9                   4                   7                   4                   10                  7                   5                   3                   9                   7                   5                   5                   10                  4                   8                   2                   
Vardas962           Pavarde962          6                   7                   10                  2                   10                  1                   8                   1                   10                  9                   9                   2                   7                   4                   4                   6                   8                   
Vardas963           Pavarde963          3                   5                   2                   9                   9                   8                   1                   10                  9                   5                   10                  5                   6                   7                   9                   8                   7                   
Vardas964           Pavarde964          4                   9                   9                   2                   5                   7                   9                   2                   3                   8                   7                   2                   5                   7                   1                   6                   4                   
Vardas965           Pavarde965          6                   8                   4                   3                   6                   4                   10                  9                   7                   6                   6                   2                   3                   1                   6                   3                   10                  
Vardas966           Pavarde966          6                   4                   6                   7                   7                   5                   8                   6                   10                  4                   6                   3                   7                   10                  8                   9                   10                  
Vardas967           Pavarde967          10                  4                   9                   6                   8                   2                   4                   4                   7                   1                   4                   7                   5                   4                   4                   5                   6                   
Vardas968           Pavarde968          6                   1                   2                   3                   8                   2                   6                   5                   8                   8                   1                   9                   3                   9                   6                   1                   8                   
Vardas969           Pavarde969          8                   6                   7                   6                   8                   9                   8                   8                   8                   8                   4                   7                   8                   1                   4                   10                  6                   
Vardas970           Pavarde970          3                   2                   9                   5                   10                  5                   3                   5                   6                   2                   6                   4                   5                   3                   5                   4                   9                   
Vardas971           Pavarde971          4                   3                   6                   10                  8                   9                   6                   3                   5                   4                   8                   6                   2                   8                   3                   8                   2                   
Vardas972           Pavarde972          2                   5                   1                   6                   4                   8                   7                   2                   6                   5                   5                   7                   9                   9                   4                   5                   7                   
